Argentina,Austria,Belgium,Bolivia,Brazil,Canada,Chile,France,Germany,Japan,Mexico,Netherlands
261,464,13,271,273,494,6,4,421,2,688,16
216,422,14,291,252,429,4,4,352,2,698,11
201,416,13,309,229,474,5,4,356,2,653,15
220,390,14,322,240,577,5,5,348,2,633,15
210,495,15,306,256,565,6,5,365,2,633,15
206,450,17,316,255,711,6,4,424,1,707,20
193,517,19,296,199,740,6,5,519,2,799,21
191,570,30,298,243,914,6,9,620,2,865,27
189,641,47,300,255,1205,6,20,816,2,914,28
190,824,75,324,253,1463,5,40,915,3,953,25
179,967,88,331,241,1422,5,39,922,5,1022,25
182,944,82,347,211,1470,4,38,1021,7,1018,30
157,886,83,300,233,1473,4,53,955,9,1035,26
162,851,77,311,236,1576,4,48,942,12,1101,28
154,861,71,359,226,1642,4,37,891,17,1142,28
154,803,91,392,222,1767,4,33,930,23,1241,30
138,858,80,324,213,1977,4,39,955,36,1254,33
133,849,108,293,220,1999,3,40,1018,61,1285,32
112,919,123,252,209,1947,3,54,1012,71,1297,32
102,882,124,247,193,2047,3,70,1031,119,1376,37
102,927,149,249,175,2101,3,115,1165,183,1471,45
102,1086,131,224,153,2133,2,218,1401,308,1535,54
84,1085,109,187,140,2246,2,377,1315,397,1450,66
89,1384,173,179,145,2547,2,598,1685,414,1424,81
98,1681,308,168,148,2596,2,569,1862,477,1441,106
88,2138,665,192,140,2439,2,770,1856,739,1975,153
90,2602,1089,226,137,2475,2,755,1995,1128,2092,184
89,2507,1008,222,143,2818,2,407,1930,1376,1925,139
88,1941,797,218,142,2951,1,194,1864,1047,1712,103
86,1434,438,204,149,3082,1,91,1603,695,1620,69
84,1176,243,199,164,3308,1,56,1370,379,1578,56
91,1095,140,215,176,3299,1,42,1222,311,1503,49
89,1141,113,256,193,3057,1,26,1142,284,1542,45
98,960,84,301,192,2609,2,23,1000,284,1443,35
119,842,76,310,202,2294,3,18,882,251,1257,32
118,809,63,307,213,2120,4,20,838,149,1185,26
113,722,54,383,215,1844,4,16,739,83,1102,23
117,616,54,413,202,1604,5,12,611,64,956,22
129,584,39,402,224,1542,5,10,557,55,913,19
138,566,37,352,237,1684,8,8,539,48,998,17
154,665,68,438,258,2342,11,12,516,105,1207,33
166,624,56,387,270,2326,11,14,530,122,870,29
164,597,63,372,279,2247,12,12,533,128,876,22
166,516,56,398,275,1853,19,8,476,212,801,18
190,517,35,376,268,1661,25,6,460,123,758,15
232,510,31,342,244,1607,39,6,431,53,794,14
308,514,24,353,231,2116,67,7,426,45,840,19
399,511,31,398,258,1937,113,8,443,40,787,28
431,503,19,327,261,1563,216,7,409,27,740,24
442,480,14,289,256,1197,213,7,352,28,702,21
324,482,38,266,250,1199,124,7,358,27,685,21
238,499,101,247,277,1175,45,11,370,32,705,31
158,482,69,284,305,1137,16,20,414,31,689,40
170,503,80,325,331,1151,8,23,447,42,669,47
153,491,89,317,373,973,8,16,389,69,663,58
149,467,68,302,360,1015,8,15,381,102,643,50
159,470,50,284,328,1121,8,20,368,170,653,49
166,489,62,303,284,1309,7,43,390,250,677,49
150,466,62,281,273,1584,7,53,449,329,810,54
144,576,106,289,234,2071,6,112,564,364,1003,62
145,598,135,257,217,2621,5,150,661,404,1135,68
145,687,137,257,199,3360,7,113,697,436,1188,59
149,760,158,291,186,3718,6,130,805,407,1178,54
142,877,200,271,177,4154,6,102,915,539,1175,52
144,812,318,271,167,5111,6,81,993,795,1131,55
141,828,591,241,175,6799,4,111,1028,950,1106,71
141,922,866,223,167,9688,5,161,1099,1137,1123,123
125,1108,517,246,158,9630,5,131,1396,1121,1242,168
123,1443,327,256,154,6504,5,163,1687,1076,1307,199
117,1524,200,238,144,4316,4,385,1568,919,1334,151
97,1418,131,209,146,3055,3,801,1305,1007,1370,99
88,1229,105,191,132,2489,3,874,1042,753,1335,56
83,1074,100,176,121,2134,3,641,982,577,1376,52
87,1036,79,168,122,2077,2,424,955,466,1398,42
63,857,67,144,110,1957,1,203,783,472,1360,26
64,768,59,131,117,2199,2,148,865,333,1478,25
62,735,81,126,120,2176,1,130,877,350,1435,31
62,735,61,123,114,1683,1,82,769,273,1518,29
67,757,59,129,109,1695,1,51,767,236,1713,28
67,704,64,136,109,1619,1,48,880,171,1781,30
65,757,63,134,114,1757,1,42,877,110,1527,28
70,796,65,141,120,1736,1,35,931,74,1567,29
68,844,48,145,130,1717,2,26,946,51,1599,29
71,854,55,156,145,1751,1,19,979,37,1627,25
70,742,46,164,152,1748,1,15,826,21,1739,19
71,708,52,186,175,1725,1,13,784,17,1667,22
92,688,54,210,172,1523,2,11,699,13,1515,23
98,640,47,250,171,1404,3,9,627,10,1351,20
95,510,34,258,166,1255,4,9,515,8,1037,16
109,500,26,285,193,1160,4,8,498,6,917,17
114,514,25,299,210,1077,5,7,497,6,1009,16
127,502,22,262,209,1005,5,5,490,7,890,14
142,530,24,250,200,966,6,4,472,7,907,14
134,490,27,246,196,854,5,5,490,7,850,13
163,460,31,260,214,868,6,6,508,6,811,14
180,527,35,255,232,833,7,7,594,7,817,14
186,506,26,271,226,715,7,5,491,6,775,11
186,462,22,239,212,641,7,4,424,5,778,12
196,466,16,314,223,570,7,3,365,5,715,12
210,419,12,286,228,592,7,3,346,4,677,11
207,441,11,268,225,546,7,3,354,4,687,12
211,420,7,229,203,445,8,2,306,4,630,10
187,411,7,208,189,561,9,2,281,3,615,11
200,405,8,203,175,451,10,2,254,3,673,11
185,406,8,197,164,462,10,2,282,3,713,11
192,423,9,210,166,481,7,3,305,3,704,12
175,389,9,208,171,468,10,3,316,3,753,11
194,462,11,237,193,442,19,3,335,3,763,12
187,476,11,290,223,506,39,4,385,3,767,14
181,489,17,275,234,569,65,4,432,3,785,15
165,499,21,280,214,648,102,5,557,3,846,19
153,578,34,293,188,857,141,7,745,4,913,25
143,678,54,259,188,1121,109,16,835,4,947,27
138,768,72,275,176,1409,77,27,896,5,927,32
150,867,74,278,156,1519,48,41,938,8,969,27
155,827,65,312,145,1552,28,31,916,11,1055,28
146,833,58,288,155,1486,16,29,927,12,1099,25
154,755,61,336,167,1486,9,26,831,17,1105,23
145,609,57,301,166,1419,8,21,791,18,1111,23
149,598,48,239,163,1594,8,18,729,21,1165,22
133,643,46,220,165,1613,6,15,771,37,1283,23
139,658,54,217,161,1797,5,18,744,45,1365,25
124,691,73,222,159,1815,5,28,807,44,1412,28
106,722,102,205,148,1960,4,45,824,48,1478,30
91,710,122,168,135,2174,3,56,895,51,1678,35
90,776,171,150,135,2526,3,104,920,73,1906,42
71,779,195,137,129,3062,3,165,896,103,1974,48
70,849,333,122,137,3816,3,337,1076,133,1959,67
67,930,551,123,136,3924,2,490,1218,187,1604,105
63,1089,482,119,128,3448,2,431,1099,342,1436,107
62,1244,326,118,121,3350,2,368,1148,624,1470,97
65,1447,291,112,121,3162,1,331,1261,918,1576,82
67,1635,329,112,118,2952,2,322,1469,985,1522,91
67,1510,286,123,122,2735,2,234,1429,976,1434,68
67,1298,189,128,134,2307,2,129,1244,565,1411,53
62,1071,134,153,149,2313,2,61,1095,372,1413,40
62,972,116,186,150,2182,1,33,1037,268,1435,34
61,940,79,196,152,2023,2,20,1003,220,1472,31
77,911,80,247,169,1784,3,14,967,143,1327,33
89,818,62,249,178,1665,5,12,798,150,1162,25
104,704,58,251,180,1476,4,10,687,111,1036,21
106,645,47,243,189,1348,4,8,625,82,949,20
107,609,41,242,196,1172,5,6,596,73,861,17
99,501,31,233,178,1097,5,4,465,72,746,15
115,499,32,253,204,1011,6,3,398,78,735,12
120,464,26,279,211,879,6,3,383,52,736,11
126,443,24,291,224,766,7,2,327,29,675,13
134,482,25,297,234,775,9,2,328,19,708,13
137,414,23,314,239,683,8,2,321,14,683,13
154,390,21,272,239,625,10,2,284,11,669,12
162,401,17,291,222,606,10,3,287,7,675,12
173,390,16,291,226,518,10,2,265,6,630,11
160,352,13,262,202,476,12,2,272,4,555,13
179,381,9,249,195,410,10,2,269,4,542,11
190,362,11,223,181,409,9,2,295,4,578,12
189,357,11,191,175,354,10,2,280,4,600,11
165,363,10,185,159,332,10,2,282,3,594,11
146,345,10,231,150,243,12,2,286,3,612,10
144,335,9,209,151,323,15,2,298,3,581,10
140,291,7,223,159,180,20,2,297,3,494,10
134,311,7,244,171,231,17,2,263,3,510,12
152,301,8,259,173,211,13,2,256,3,492,13
147,320,9,271,171,238,10,2,316,3,543,14
145,318,12,253,165,372,8,2,352,4,638,15
116,327,17,252,158,476,5,4,396,4,657,16
100,423,36,224,154,764,6,12,506,4,709,23
95,549,40,202,145,1030,4,17,599,6,777,24
88,564,45,193,132,1120,3,18,611,11,807,21
